file,r_avg,g_avg,b_avg
0022.png,119.516,83.236,64.68
0036.png,138.08,69.62,58.182
00175.png,82.136,59.592,58.426
00217.png,168.608,124.212,104.644
00203.png,92.374,55.964,50.43
00202.png,85.412,52.234,49.692
00216.png,191.078,159.786,147.45
00174.png,73.13,55.722,57.83
0037.png,111.896,56.42,34.028
0023.png,157.128,111.172,84.522
00160.png,63.054,53.032,59.512
00148.png,113.168,98.474,101.29
0087.png,94.826,76.328,87.626
0093.png,68.636,56.124,67.126
0044.png,109.71,79.666,52.68
00107.png,115.96,67.914,67.834
00113.png,99.454,67.926,67.524
0050.png,107.08,82.892,66.356
0078.png,161.244,152.206,149.19
00259.png,104.26,52.99,38.004
00258.png,145.634,61.644,44.16
0079.png,169.99,123.936,116.886
0051.png,128.724,103.032,118.49
00112.png,165.1,97.276,78.654
00106.png,139.614,96.25,95.828
0045.png,133.032,128.756,133.742
0092.png,75.428,60.058,64.716
0086.png,65.984,64.112,62.562
0090.png,147.822,112.598,99.432
0084.png,208.972,153.184,97.782
00110.png,130.054,82.652,78.906
0053.png,179.9,134.0,59.694
0047.png,126.726,127.716,124.262
00104.png,115.81,97.762,112.034
00138.png,90.462,54.09,49.542
00139.png,86.268,77.752,82.814
00105.png,122.734,82.898,82.638
0046.png,149.548,135.7,131.188
0052.png,95.83,101.196,106.63
00111.png,109.364,60.834,57.808
0085.png,132.036,109.678,88.868
0091.png,121.434,91.786,86.356
0095.png,152.344,113.096,104.69
0081.png,150.688,138.186,138.578
00129.png,106.67,83.47,80.854
00115.png,54.726,33.612,30.49
0056.png,168.708,161.284,151.76
0042.png,106.24,85.962,112.298
00101.png,136.648,103.242,110.766
00100.png,142.762,97.296,94.802
0043.png,114.492,84.798,106.326
0057.png,145.418,132.816,123.408
00114.png,71.808,50.078,51.806
00128.png,129.312,103.498,96.746
0080.png,165.134,118.83,113.852
0094.png,78.894,63.968,73.074
0082.png,111.382,91.896,124.818
0096.png,134.554,115.042,121.282
0069.png,125.128,123.044,124.832
0041.png,134.452,111.858,102.084
00102.png,145.608,101.41,101.898
00116.png,38.41,27.85,30.868
0055.png,187.484,91.06,37.296
00248.png,119.312,54.788,42.11
00260.png,112.444,52.104,50.872
00249.png,94.322,65.824,65.984
0054.png,152.184,59.786,36.998
00117.png,72.07,46.94,50.084
00103.png,109.8,94.938,110.604
0040.png,137.962,119.184,109.276
0068.png,173.59,112.658,86.904
0097.png,137.99,106.416,106.818
0083.png,163.608,122.796,96.094
